Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
31,Male,Berlin,Software Engineer,4,4,Senior,84000,84000,168000,84000,80000,164000,30,Consulting 
31,Male,Munich,Backend Developer,10,7,Senior,65000,0,65000,60000,0,60000,30,Consulting 
31,Male,Berlin,Backend Developer,9,9,Senior,78000,0,78000,65000,0,65000,30,Consulting 
31,Male,Munich,Software Engineer,10,2,Senior,72000,0,72000,72000,0,72000,30,Consulting 
31,Male,Berlin,Software Engineer,7,5,Lead,80000,40000,120000,80000,35000,115000,25,FAANG
31,Male,Berlin,ML Engineer,4,4,Junior,90000,0,90000,90000,0,90000,25,Product
31,Male,Berlin,Software Engineer,4,2,Lead,65000,0,65000,60000,0,60000,25,Product
31,Male,Berlin,Product Manager,5,3,Lead,90000,0,90000,75000,0,75000,25,Product
31,Male,Munich,Frontend Developer,12,1.5,Lead,60000,0,60000,60000,0,60000,26,Product
31,Male,Munich,Software Engineer,5,2,Middle,78000,0,78000,78000,0,78000,28,Product
31,Male,Berlin,ML Engineer,7,2,Middle,70000,0,70000,60000,0,60000,28,Product
31,Male,Berlin,Mobile Developer,10,3,Senior,65000,0,65000,52000,0,52000,30,Product
31,Male,Paris,Mobile Developer,8,0,Senior,55000,0,55000,52000,0,52000,30,Product
31,Male,Nuremberg,QA Engineer,9,5,Middle,60000,2000,62000,36000,0,36000,28,Product
31,Male,Berlin,Data Scientist,10,5,Lead,44000,3000,47000,44000,0,44000,26,Product
31,Male,Munich,Software Engineer,3,3,Middle,80000,10000,90000,85000,0,85000,28,Product
31,Male,Berlin,Data Scientist,5,3,Middle,58000,3000,61000,26000,1500,27500,28,Product
31,Male,Berlin,Software Engineer,12,2,Senior,70000,5000,75000,70000,5000,75000,30,Product
31,Male,Berlin,Frontend Developer,10,1.5,Senior,65000,13000,78000,65000,13000,78000,30,Product
31,Male,Berlin,Software Engineer,7,2,Senior,73000,16000,89000,73000,16000,89000,30,Product
